Top Tokens by Average Entropy Difference:
1. Token: '<|begin_of_text|>', Frequency: 520, Avg_Diff: 5.8251
2. Token: 'Ġeco', Frequency: 1, Avg_Diff: 3.2751
3. Token: 'Ġmanual', Frequency: 3, Avg_Diff: 3.1624
4. Token: 'Ġmusic', Frequency: 1, Avg_Diff: 3.1306
5. Token: 'Ġdate', Frequency: 1, Avg_Diff: 3.0027
6. Token: '-to', Frequency: 1, Avg_Diff: 3.0002
7. Token: 'Ġcreating', Frequency: 3, Avg_Diff: 2.8948
8. Token: 'Write', Frequency: 111, Avg_Diff: 2.7071
9. Token: 'Ġmanagement', Frequency: 1, Avg_Diff: 2.6215
10. Token: 'Ġblog', Frequency: 9, Avg_Diff: 2.6197
11. Token: 'Ġallows', Frequency: 4, Avg_Diff: 2.5984
12. Token: 'Ġduring', Frequency: 2, Avg_Diff: 2.5662
13. Token: 'Ġstart', Frequency: 1, Avg_Diff: 2.5640
14. Token: 'acks', Frequency: 1, Avg_Diff: 2.5372
15. Token: 'Ġlaunches', Frequency: 1, Avg_Diff: 2.4941
16. Token: 'Show', Frequency: 4, Avg_Diff: 2.4814
17. Token: 'Ġavailable', Frequency: 1, Avg_Diff: 2.4650
18. Token: 'Ġdistributes', Frequency: 1, Avg_Diff: 2.4231
19. Token: 'Ġtrespass', Frequency: 1, Avg_Diff: 2.4208
20. Token: 'Ġbuild', Frequency: 2, Avg_Diff: 2.4143
21. Token: 'ware', Frequency: 2, Avg_Diff: 2.4079
22. Token: 'ifying', Frequency: 1, Avg_Diff: 2.3828
23. Token: 'Ġnonprofit', Frequency: 1, Avg_Diff: 2.3596
24. Token: 'Ġtutorial', Frequency: 46, Avg_Diff: 2.3415
25. Token: 'Ġrob', Frequency: 1, Avg_Diff: 2.3105
26. Token: 'Ġunwanted', Frequency: 1, Avg_Diff: 2.2963
27. Token: 'Ġlyrics', Frequency: 1, Avg_Diff: 2.2507
28. Token: 'Ġinsider', Frequency: 19, Avg_Diff: 2.2246
29. Token: 'Ġsocial', Frequency: 27, Avg_Diff: 2.1742
30. Token: 'inate', Frequency: 1, Avg_Diff: 2.1571
31. Token: 'ates', Frequency: 4, Avg_Diff: 2.1513
32. Token: 'Ġinstitution', Frequency: 4, Avg_Diff: 2.1484
33. Token: 'ĠFacebook', Frequency: 1, Avg_Diff: 2.1439
34. Token: 'Ġcollects', Frequency: 2, Avg_Diff: 2.1286
35. Token: 'Ġcheating', Frequency: 1, Avg_Diff: 2.1136
36. Token: 'ort', Frequency: 1, Avg_Diff: 2.0981
37. Token: 'Ġleaks', Frequency: 1, Avg_Diff: 2.0455
38. Token: 'Ġpermanently', Frequency: 1, Avg_Diff: 2.0448
39. Token: 'Ġcomic', Frequency: 1, Avg_Diff: 2.0251
40. Token: 'Ġbot', Frequency: 8, Avg_Diff: 2.0154
41. Token: 'Ġlaunching', Frequency: 1, Avg_Diff: 2.0098
42. Token: 'Ġrival', Frequency: 1, Avg_Diff: 2.0090
43. Token: 'Ġcreate', Frequency: 19, Avg_Diff: 2.0079
44. Token: 'ify', Frequency: 1, Avg_Diff: 1.9889
