Top Tokens by Average Entropy Difference:
1. Token: '<|begin_of_text|>', Frequency: 520, Avg_Diff: 5.8251
2. Token: 'Ġeco', Frequency: 1, Avg_Diff: 3.6338
3. Token: 'Ġcorrection', Frequency: 1, Avg_Diff: 3.1123
4. Token: 'Ġrival', Frequency: 1, Avg_Diff: 2.9265
5. Token: 'ware', Frequency: 2, Avg_Diff: 2.8408
6. Token: 'Ġinsider', Frequency: 19, Avg_Diff: 2.8147
7. Token: 'ĠFacebook', Frequency: 1, Avg_Diff: 2.6136
8. Token: 'Ġsocial', Frequency: 27, Avg_Diff: 2.4961
9. Token: '-to', Frequency: 1, Avg_Diff: 2.4719
10. Token: 'Ġmachine', Frequency: 2, Avg_Diff: 2.4564
11. Token: 'Ġmedia', Frequency: 24, Avg_Diff: 2.2885
12. Token: 'Ġlearning', Frequency: 1, Avg_Diff: 2.2377
13. Token: 'Ġavailable', Frequency: 1, Avg_Diff: 2.2266
14. Token: 'Ġantivirus', Frequency: 2, Avg_Diff: 2.1970
15. Token: 'Ġdownload', Frequency: 2, Avg_Diff: 2.1829
16. Token: 'Ġphone', Frequency: 2, Avg_Diff: 2.1769
17. Token: 'Ġminority', Frequency: 4, Avg_Diff: 2.1197
18. Token: 'inate', Frequency: 1, Avg_Diff: 2.0998
19. Token: 'Ġscientific', Frequency: 1, Avg_Diff: 2.0501
20. Token: 'Ġmanagement', Frequency: 1, Avg_Diff: 2.0440
21. Token: 'Ġleak', Frequency: 4, Avg_Diff: 2.0418
22. Token: 'Ġnonprofit', Frequency: 1, Avg_Diff: 1.9566
23. Token: 'Ġhospital', Frequency: 3, Avg_Diff: 1.9065
24. Token: 'Ġenables', Frequency: 2, Avg_Diff: 1.9029
25. Token: 'ort', Frequency: 1, Avg_Diff: 1.9007
26. Token: 'Ġblog', Frequency: 9, Avg_Diff: 1.8899
27. Token: 'Ġconduct', Frequency: 1, Avg_Diff: 1.8650
28. Token: 'Ġendangered', Frequency: 1, Avg_Diff: 1.8262
29. Token: 'Ġdisrupting', Frequency: 2, Avg_Diff: 1.7833
30. Token: 'Ġhas', Frequency: 1, Avg_Diff: 1.7761
31. Token: 'Ġtowards', Frequency: 3, Avg_Diff: 1.7726
32. Token: 'Ġself', Frequency: 12, Avg_Diff: 1.7682
33. Token: 'Ġleaks', Frequency: 1, Avg_Diff: 1.7553
34. Token: 'Ġstart', Frequency: 1, Avg_Diff: 1.7473
35. Token: 'Ġdemonstration', Frequency: 1, Avg_Diff: 1.7334
36. Token: 'Ġpsychological', Frequency: 2, Avg_Diff: 1.7293
37. Token: 'Ġsecured', Frequency: 1, Avg_Diff: 1.7150
38. Token: 'Ġcauses', Frequency: 2, Avg_Diff: 1.7069
39. Token: 'Ġparticular', Frequency: 7, Avg_Diff: 1.6990
40. Token: 'Ġunwanted', Frequency: 1, Avg_Diff: 1.6942
41. Token: 'Ġstalk', Frequency: 2, Avg_Diff: 1.6934
42. Token: 'Ġplant', Frequency: 1, Avg_Diff: 1.6796
43. Token: 'Ġfalse', Frequency: 14, Avg_Diff: 1.6790
44. Token: 'Ġinstitution', Frequency: 4, Avg_Diff: 1.6773
45. Token: 'Ġduring', Frequency: 2, Avg_Diff: 1.6647
46. Token: 'Ġbomb', Frequency: 23, Avg_Diff: 1.6493
47. Token: 'Ġpower', Frequency: 1, Avg_Diff: 1.6425
48. Token: 'Ġexplosive', Frequency: 3, Avg_Diff: 1.6397
