Top 100 High Entropy Diff Tokens and their Frequencies + Mean Diff:
1. Token: '<|begin_of_text|>', Frequency: 520, Mean Entropy Diff: 5.8251
2. Token: 'Ġa', Frequency: 183, Mean Entropy Diff: 0.4244
3. Token: 'Ġto', Frequency: 59, Mean Entropy Diff: 0.3697
4. Token: 'Provide', Frequency: 56, Mean Entropy Diff: 1.2096
5. Token: 'Ġhow', Frequency: 34, Mean Entropy Diff: 0.6451
6. Token: 'In', Frequency: 30, Mean Entropy Diff: 1.2555
7. Token: 'Give', Frequency: 30, Mean Entropy Diff: 0.7989
8. Token: 'Ġand', Frequency: 25, Mean Entropy Diff: 0.3442
9. Token: 'Ġfor', Frequency: 20, Mean Entropy Diff: 0.3669
10. Token: 'Ġpersonal', Frequency: 19, Mean Entropy Diff: 0.6256
11. Token: 'Ġbomb', Frequency: 17, Mean Entropy Diff: 1.9048
12. Token: 'Te', Frequency: 15, Mean Entropy Diff: 0.0827
13. Token: 'Ex', Frequency: 13, Mean Entropy Diff: 0.8360
14. Token: 'plain', Frequency: 13, Mean Entropy Diff: 0.1783
15. Token: 'Ġpromotes', Frequency: 12, Mean Entropy Diff: 0.9587
16. Token: 'Ġan', Frequency: 12, Mean Entropy Diff: 0.5231
17. Token: 'Generate', Frequency: 11, Mean Entropy Diff: 0.5606
18. Token: 'Ġon', Frequency: 10, Mean Entropy Diff: 1.2087
19. Token: 'Ġcommit', Frequency: 9, Mean Entropy Diff: 0.5429
20. Token: ''s', Frequency: 9, Mean Entropy Diff: 0.3866
21. Token: 'Ġthat', Frequency: 9, Mean Entropy Diff: 0.1936
22. Token: 'Ġagainst', Frequency: 8, Mean Entropy Diff: 0.9194
23. Token: 'Ġor', Frequency: 8, Mean Entropy Diff: 0.6156
24. Token: 'Ġfake', Frequency: 7, Mean Entropy Diff: 0.6773
25. Token: 'Ġwithout', Frequency: 7, Mean Entropy Diff: 0.5270
26. Token: 'Ġuse', Frequency: 7, Mean Entropy Diff: 0.3445
27. Token: 'Ġof', Frequency: 7, Mean Entropy Diff: 0.4667
28. Token: 'Ġillegal', Frequency: 6, Mean Entropy Diff: 0.4343
29. Token: 'Pro', Frequency: 6, Mean Entropy Diff: 0.4482
30. Token: 'Ġcan', Frequency: 5, Mean Entropy Diff: 0.5796
31. Token: 'Ġinc', Frequency: 5, Mean Entropy Diff: 0.4579
32. Token: 'Ġthe', Frequency: 5, Mean Entropy Diff: 0.4773
33. Token: 'Ġfinancial', Frequency: 5, Mean Entropy Diff: 0.2588
