Top 20% Unique Tokens by Avg Entropy:

22. Token: '<|begin_of_text|>', Avg Entropy: 10.878998, Count: 520
809. Token: 'Ġsuccessful', Avg Entropy: 7.886099, Count: 1
37. Token: 'Generate', Avg Entropy: 7.381201, Count: 11
49. Token: 'Provide', Avg Entropy: 6.992791, Count: 56
81. Token: 'duce', Avg Entropy: 6.879522, Count: 6
607. Token: 'Ġobtaining', Avg Entropy: 6.711928, Count: 1
484. Token: 'Ġhomemade', Avg Entropy: 6.629354, Count: 4
57. Token: 'Use', Avg Entropy: 6.628197, Count: 1
109. Token: 'loit', Avg Entropy: 6.622382, Count: 1
902. Token: 'Ġwhy', Avg Entropy: 6.473824, Count: 1
125. Token: 'ulate', Avg Entropy: 6.388433, Count: 1
42. Token: 'In', Avg Entropy: 6.301904, Count: 30
241. Token: 'Ġcertain', Avg Entropy: 6.148742, Count: 2
56. Token: 'Train', Avg Entropy: 6.139836, Count: 1
43. Token: 'Inter', Avg Entropy: 6.064004, Count: 1
567. Token: 'Ġmanipulating', Avg Entropy: 6.000310, Count: 1
35. Token: 'Ex', Avg Entropy: 5.971538, Count: 13
47. Token: 'Post', Avg Entropy: 5.959044, Count: 1
667. Token: 'Ġpowerful', Avg Entropy: 5.954203, Count: 1
32. Token: 'Draft', Avg Entropy: 5.943733, Count: 1
140. Token: 'Ġa', Avg Entropy: 5.912703, Count: 606
753. Token: 'Ġsells', Avg Entropy: 5.875160, Count: 3
64. Token: 'ading', Avg Entropy: 5.855769, Count: 2
293. Token: 'Ġconvincing', Avg Entropy: 5.820117, Count: 1
646. Token: 'Ġpirate', Avg Entropy: 5.792739, Count: 1
67. Token: 'aling', Avg Entropy: 5.738998, Count: 1
351. Token: 'Ġdisables', Avg Entropy: 5.729458, Count: 2
48. Token: 'Pro', Avg Entropy: 5.678459, Count: 6
658. Token: 'Ġpopular', Avg Entropy: 5.658391, Count: 1
339. Token: 'Ġdestroys', Avg Entropy: 5.571111, Count: 1
548. Token: 'Ġlocal', Avg Entropy: 5.564289, Count: 1
287. Token: 'Ġcontains', Avg Entropy: 5.562645, Count: 1
210. Token: 'Ġbomb', Avg Entropy: 5.540830, Count: 23
24. Token: 'Con', Avg Entropy: 5.539524, Count: 1
558. Token: 'Ġmail', Avg Entropy: 5.479091, Count: 1
901. Token: 'Ġwhile', Avg Entropy: 5.462010, Count: 1
642. Token: 'Ġphysically', Avg Entropy: 5.454949, Count: 1
478. Token: 'Ġhelps', Avg Entropy: 5.429767, Count: 1
38. Token: 'Give', Avg Entropy: 5.388803, Count: 30
425. Token: 'Ġfake', Avg Entropy: 5.357361, Count: 43
874. Token: 'Ġuses', Avg Entropy: 5.208362, Count: 3
224. Token: 'Ġby', Avg Entropy: 5.160332, Count: 3
92. Token: 'ifies', Avg Entropy: 5.139016, Count: 6
360. Token: 'Ġdistributing', Avg Entropy: 5.065158, Count: 1
525. Token: 'Ġkill', Avg Entropy: 5.050405, Count: 2
338. Token: 'Ġdestroy', Avg Entropy: 5.026361, Count: 1
892. Token: 'Ġwater', Avg Entropy: 4.995396, Count: 1
40. Token: 'Hack', Avg Entropy: 4.993645, Count: 2
570. Token: 'Ġmanufacture', Avg Entropy: 4.987508, Count: 1
439. Token: 'Ġfor', Avg Entropy: 4.936364, Count: 90
181. Token: 'Ġare', Avg Entropy: 4.931041, Count: 1
682. Token: 'Ġpromotes', Avg Entropy: 4.901280, Count: 21
524. Token: 'Ġits', Avg Entropy: 4.897798, Count: 2
60. Token: 'ach', Avg Entropy: 4.897679, Count: 15
681. Token: 'Ġpromote', Avg Entropy: 4.875562, Count: 1
29. Token: 'Design', Avg Entropy: 4.866823, Count: 17
122. Token: 'strate', Avg Entropy: 4.847790, Count: 3
196. Token: 'Ġautomatically', Avg Entropy: 4.830227, Count: 1
23. Token: 'Compose', Avg Entropy: 4.824720, Count: 2
128. Token: 'vent', Avg Entropy: 4.809112, Count: 2
358. Token: 'Ġdistribute', Avg Entropy: 4.730848, Count: 16
248. Token: 'Ġchemical', Avg Entropy: 4.693558, Count: 2
417. Token: 'Ġexploiting', Avg Entropy: 4.676094, Count: 1
875. Token: 'Ġusing', Avg Entropy: 4.674292, Count: 20
