Top 20% Unique Tokens by Avg Entropy:

22. Token: '<|begin_of_text|>', Avg Entropy: 10.878997, Count: 520
775. Token: 'Ġsuccessful', Avg Entropy: 8.224544, Count: 1
720. Token: 'Ġsells', Avg Entropy: 7.649141, Count: 3
573. Token: 'Ġobtaining', Avg Entropy: 7.226917, Count: 1
446. Token: 'Ġhomemade', Avg Entropy: 6.982317, Count: 4
870. Token: 'Ġwhy', Avg Entropy: 6.771137, Count: 1
249. Token: 'Ġconvincing', Avg Entropy: 6.720497, Count: 1
196. Token: 'Ġcertain', Avg Entropy: 6.706883, Count: 2
648. Token: 'Ġpromote', Avg Entropy: 6.324189, Count: 1
254. Token: 'Ġcounter', Avg Entropy: 6.157918, Count: 1
634. Token: 'Ġpowerful', Avg Entropy: 6.154375, Count: 1
649. Token: 'Ġpromotes', Avg Entropy: 6.152813, Count: 21
165. Token: 'Ġbomb', Avg Entropy: 6.083784, Count: 23
794. Token: 'Ġteaching', Avg Entropy: 6.078359, Count: 1
693. Token: 'Ġrewards', Avg Entropy: 6.046890, Count: 1
533. Token: 'Ġmanipulating', Avg Entropy: 6.016506, Count: 2
107. Token: 'Ġacquire', Avg Entropy: 5.950249, Count: 3
386. Token: 'Ġfake', Avg Entropy: 5.934244, Count: 43
613. Token: 'Ġpirate', Avg Entropy: 5.907138, Count: 1
513. Token: 'Ġlocal', Avg Entropy: 5.881294, Count: 1
609. Token: 'Ġphysically', Avg Entropy: 5.847427, Count: 1
869. Token: 'Ġwhile', Avg Entropy: 5.845408, Count: 1
384. Token: 'Ġfacilitates', Avg Entropy: 5.810735, Count: 3
489. Token: 'Ġits', Avg Entropy: 5.764400, Count: 2
536. Token: 'Ġmanufacture', Avg Entropy: 5.747673, Count: 1
53. Token: 'ifies', Avg Entropy: 5.690135, Count: 6
868. Token: 'Ġwhere', Avg Entropy: 5.615018, Count: 1
320. Token: 'Ġdistributing', Avg Entropy: 5.486479, Count: 1
625. Token: 'Ġpopular', Avg Entropy: 5.484515, Count: 1
448. Token: 'Ġhosts', Avg Entropy: 5.474372, Count: 1
31. Token: 'ading', Avg Entropy: 5.437298, Count: 3
311. Token: 'Ġdisables', Avg Entropy: 5.433479, Count: 2
66. Token: 'izes', Avg Entropy: 5.433164, Count: 1
299. Token: 'Ġdestroys', Avg Entropy: 5.346848, Count: 1
95. Token: 'Ġa', Avg Entropy: 5.342759, Count: 667
400. Token: 'Ġfor', Avg Entropy: 5.297596, Count: 98
179. Token: 'Ġby', Avg Entropy: 5.194083, Count: 3
482. Token: 'Ġintentionally', Avg Entropy: 5.108279, Count: 2
5. Token: ',', Avg Entropy: 5.095388, Count: 537
526. Token: 'Ġmaking', Avg Entropy: 5.024251, Count: 11
843. Token: 'Ġusing', Avg Entropy: 5.011836, Count: 20
631. Token: 'Ġposts', Avg Entropy: 4.984558, Count: 1
668. Token: 'Ġradical', Avg Entropy: 4.967471, Count: 1
382. Token: 'Ġext', Avg Entropy: 4.964704, Count: 1
814. Token: 'Ġto', Avg Entropy: 4.955562, Count: 359
829. Token: 'Ġtrusted', Avg Entropy: 4.954637, Count: 1
151. Token: 'Ġautomatically', Avg Entropy: 4.948052, Count: 1
851. Token: 'Ġvirus', Avg Entropy: 4.901006, Count: 15
318. Token: 'Ġdistribute', Avg Entropy: 4.900259, Count: 16
83. Token: 'vent', Avg Entropy: 4.899584, Count: 2
842. Token: 'Ġuses', Avg Entropy: 4.891182, Count: 3
523. Token: 'Ġmail', Avg Entropy: 4.888505, Count: 1
462. Token: 'Ġincluding', Avg Entropy: 4.861212, Count: 8
16. Token: '-scale', Avg Entropy: 4.801091, Count: 2
233. Token: 'Ġconceal', Avg Entropy: 4.800328, Count: 1
354. Token: 'Ġencourages', Avg Entropy: 4.768224, Count: 15
524. Token: 'Ġmajor', Avg Entropy: 4.757639, Count: 1
79. Token: 's', Avg Entropy: 4.753506, Count: 4
34. Token: 'aming', Avg Entropy: 4.742025, Count: 1
443. Token: 'Ġhit', Avg Entropy: 4.738721, Count: 1
243. Token: 'Ġcontains', Avg Entropy: 4.730602, Count: 1
