Top 20% High Entropy Tokens (sorted by entropy):

851. Token: 'Ġsuccessful', Entropy: 8.137491, Dataset: advbench, Text Index: 61, Position: 9
5833. Token: 'Ġthe', Entropy: 8.100744, Dataset: advbench, Text Index: 422, Position: 5
1727. Token: 'Ġa', Entropy: 8.014771, Dataset: advbench, Text Index: 127, Position: 3
1343. Token: 'Ġa', Entropy: 8.014771, Dataset: advbench, Text Index: 98, Position: 3
758. Token: 'Ġa', Entropy: 7.958596, Dataset: advbench, Text Index: 55, Position: 6
3284. Token: 'Ġa', Entropy: 7.951759, Dataset: advbench, Text Index: 236, Position: 8
5786. Token: 'Ġa', Entropy: 7.848495, Dataset: advbench, Text Index: 418, Position: 11
5508. Token: 'Ġa', Entropy: 7.848264, Dataset: advbench, Text Index: 399, Position: 7
2120. Token: 'Ġthe', Entropy: 7.823523, Dataset: advbench, Text Index: 155, Position: 3
2025. Token: 'Ġhomemade', Entropy: 7.823065, Dataset: advbench, Text Index: 148, Position: 7
267. Token: 'Ġa', Entropy: 7.777210, Dataset: advbench, Text Index: 20, Position: 2
6702. Token: 'Ġa', Entropy: 7.773432, Dataset: advbench, Text Index: 485, Position: 12
3530. Token: 'Ġfor', Entropy: 7.754089, Dataset: advbench, Text Index: 256, Position: 4
1185. Token: 'Ġa', Entropy: 7.744293, Dataset: advbench, Text Index: 86, Position: 7
108. Token: 'Ġa', Entropy: 7.734972, Dataset: advbench, Text Index: 7, Position: 8
498. Token: 'Ġa', Entropy: 7.734971, Dataset: advbench, Text Index: 36, Position: 8
4111. Token: 'Ġa', Entropy: 7.707336, Dataset: advbench, Text Index: 297, Position: 5
2278. Token: 'Ġa', Entropy: 7.695582, Dataset: advbench, Text Index: 165, Position: 10
6286. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 454, Position: 3
909. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 65, Position: 3
1669. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 122, Position: 3
284. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 21, Position: 3
5061. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 367, Position: 3
3651. Token: 'Ġa', Entropy: 7.693168, Dataset: advbench, Text Index: 265, Position: 3
2024. Token: 'Ġa', Entropy: 7.682738, Dataset: advbench, Text Index: 148, Position: 6
1272. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 93, Position: 2
157. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 11, Position: 2
4267. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 308, Position: 2
1207. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 88, Position: 2
868. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 62, Position: 2
5205. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 377, Position: 2
1916. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 140, Position: 2
830. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 60, Position: 2
3969. Token: 'Ġa', Entropy: 7.654062, Dataset: advbench, Text Index: 287, Position: 2
2151. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 157, Position: 2
6187. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 447, Position: 2
2200. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 160, Position: 2
5542. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 402, Position: 2
548. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 40, Position: 2
4721. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 343, Position: 2
5581. Token: 'Ġa', Entropy: 7.654061, Dataset: advbench, Text Index: 405, Position: 2
1393. Token: 'Ġa', Entropy: 7.653319, Dataset: advbench, Text Index: 101, Position: 10
2105. Token: 'Ġa', Entropy: 7.653019, Dataset: advbench, Text Index: 154, Position: 8
4336. Token: 'Ġa', Entropy: 7.620620, Dataset: advbench, Text Index: 313, Position: 11
88. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 6, Position: 2
4959. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 360, Position: 2
565. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 41, Position: 2
5459. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 396, Position: 2
3939. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 285, Position: 2
6627. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 480, Position: 2
3926. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 284, Position: 2
667. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 49, Position: 2
3912. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 283, Position: 2
