Top 20% High Entropy Tokens (sorted by entropy):

999. Token: 'Ġa', Entropy: 8.183696, Dataset: advbench, Text Index: 59, Position: 8
1449. Token: 'Ġa', Entropy: 8.181700, Dataset: advbench, Text Index: 86, Position: 11
3963. Token: 'Ġa', Entropy: 8.153929, Dataset: advbench, Text Index: 234, Position: 10
6198. Token: 'Ġa', Entropy: 8.153928, Dataset: advbench, Text Index: 366, Position: 10
7143. Token: 'Ġthe', Entropy: 8.147141, Dataset: advbench, Text Index: 422, Position: 10
5505. Token: 'Ġa', Entropy: 8.091154, Dataset: advbench, Text Index: 325, Position: 11
6364. Token: 'Ġa', Entropy: 8.063369, Dataset: advbench, Text Index: 376, Position: 8
933. Token: 'Ġa', Entropy: 8.063369, Dataset: advbench, Text Index: 55, Position: 8
1324. Token: 'Ġa', Entropy: 8.063368, Dataset: advbench, Text Index: 78, Position: 8
7615. Token: 'Ġa', Entropy: 8.029348, Dataset: advbench, Text Index: 449, Position: 11
1092. Token: 'Ġsuccessful', Entropy: 8.010241, Dataset: advbench, Text Index: 64, Position: 12
6938. Token: 'Ġa', Entropy: 7.987337, Dataset: advbench, Text Index: 410, Position: 9
2524. Token: 'Ġa', Entropy: 7.974909, Dataset: advbench, Text Index: 151, Position: 12
62. Token: 'Ġa', Entropy: 7.928312, Dataset: advbench, Text Index: 3, Position: 11
1701. Token: 'Ġa', Entropy: 7.908075, Dataset: advbench, Text Index: 101, Position: 13
8198. Token: 'Ġa', Entropy: 7.905098, Dataset: advbench, Text Index: 485, Position: 14
7081. Token: 'Ġa', Entropy: 7.905098, Dataset: advbench, Text Index: 418, Position: 14
2570. Token: 'Ġa', Entropy: 7.899043, Dataset: advbench, Text Index: 154, Position: 12
4004. Token: 'Ġa', Entropy: 7.897208, Dataset: advbench, Text Index: 236, Position: 11
614. Token: 'Ġa', Entropy: 7.897207, Dataset: advbench, Text Index: 36, Position: 11
6748. Token: 'Ġa', Entropy: 7.897207, Dataset: advbench, Text Index: 399, Position: 11
2777. Token: 'Ġa', Entropy: 7.870646, Dataset: advbench, Text Index: 165, Position: 13
2489. Token: 'Ġof', Entropy: 7.838961, Dataset: advbench, Text Index: 149, Position: 11
7764. Token: 'Ġa', Entropy: 7.835339, Dataset: advbench, Text Index: 458, Position: 12
7765. Token: 'Ġfake', Entropy: 7.805004, Dataset: advbench, Text Index: 458, Position: 13
8110. Token: 'Ġa', Entropy: 7.797154, Dataset: advbench, Text Index: 480, Position: 12
5350. Token: 'Ġa', Entropy: 7.783452, Dataset: advbench, Text Index: 316, Position: 8
