Overall Statistics:
Total number of prompts analyzed: 100
Total number of tokens analyzed: 1371
Mean of prompt-average-entropies: -4.4545
Standard deviation of prompt-average-entropies: 1.3438
[-5.571478843688965, -5.361586570739746, -4.153139591217041, -2.602216958999634, -1.957147479057312, -4.676578998565674, -4.2444748878479, -5.357964515686035, -5.877997875213623, -4.047030448913574, -0.12655222415924072, -3.6281816959381104, -5.116023063659668, -5.605988025665283, -4.839871883392334, -4.743358612060547, -1.640691876411438, -4.764057636260986, -3.9708480834960938, -3.6573486328125, -2.7414231300354004, -4.482791423797607, -5.173443794250488, -4.504931926727295, -4.3079962730407715, -3.266022205352783, -4.352326393127441, -2.6943464279174805, -5.412473201751709, -5.46593713760376, -4.965797424316406, -5.519857406616211, -4.868749141693115, -5.408374309539795, -5.071997165679932, -4.953362464904785, -5.5512518882751465, -5.308009147644043, -1.467185139656067, -4.439298152923584, -4.981571197509766, -0.4536866843700409, -3.9769785404205322, -5.166195392608643, -4.591285228729248, -2.286865234375, -5.483806133270264, -4.8957977294921875, -6.098933219909668, -3.5667319297790527, -4.256720542907715, -5.118801593780518, -4.025847434997559, -5.723220348358154, -4.563562393188477, -5.557048797607422, -5.209521293640137, -4.927024841308594, -5.047361373901367, -3.7578840255737305, -6.07642126083374, -5.222034931182861, -4.850961208343506, -4.743567943572998, -5.8748555183410645, -4.224748611450195, -5.048821449279785, -5.482272148132324, -2.4227559566497803, -6.092679023742676, -4.494541645050049, -4.147719383239746, -4.187836170196533, -4.576040267944336, -5.270092487335205, -4.705084323883057, -5.918336391448975, -5.727748394012451, -5.589713096618652, -4.4400634765625, 0.529014527797699, -5.6656060218811035, -5.927961826324463, -5.844844818115234, -4.425745010375977, -0.3420512080192566, -1.8910764455795288, -4.253762245178223, -4.846692085266113, -4.53518009185791, -3.991774559020996, -5.705633640289307, -3.616729736328125, -5.2407331466674805, -5.254434108734131, -5.65495491027832, -4.516083717346191, -4.216129302978516, -5.2664899826049805, -4.098813533782959]


--- Top 100 Low Entropy Tokens ---
                  token   entropy
109   <|begin_of_text|> -6.840727
489   <|begin_of_text|> -6.831932
116           Ġsoftware -6.820810
691   <|begin_of_text|> -6.800906
115          Ġantivirus -6.790258
790   <|begin_of_text|> -6.786419
931   <|begin_of_text|> -6.784785
1339  <|begin_of_text|> -6.776751
937              Ġusers -6.772416
1050  <|begin_of_text|> -6.771737
791             Provide -6.769032
1292  <|begin_of_text|> -6.761998
751   <|begin_of_text|> -6.761004
1295                -by -6.759967
805          Ġchemicals -6.759808
1051            Provide -6.754350
794                 Ġof -6.753144
1308           Ġsystems -6.749743
1294              Ġstep -6.746193
1293            Provide -6.744611
753              strate -6.743052
706             Ġtoxins -6.741991
694              Ġusers -6.737365
704          Ġselection -6.736660
1114  <|begin_of_text|> -6.725561
1058        Ġdistribute -6.715634
711           Ġdelivery -6.713488
1052      Ġinstructions -6.701933
492           Ġtutorial -6.701819
1053               Ġfor -6.697969
493                 Ġon -6.690143
1117          Ġtutorial -6.689431
1298               Ġfor -6.688193
1026  <|begin_of_text|> -6.673198
655   <|begin_of_text|> -6.672410
437   <|begin_of_text|> -6.657427
662                ated -6.655819
402   <|begin_of_text|> -6.654235
530   <|begin_of_text|> -6.653597
918   <|begin_of_text|> -6.647526
754                Ġhow -6.643995
793               Ġlist -6.641190
1056           Ġacquire -6.640810
403             Provide -6.636848
451   <|begin_of_text|> -6.635243
454                 -by -6.633213
806   <|begin_of_text|> -6.630525
919             Provide -6.630139
905   <|begin_of_text|> -6.625008
934            Ġwebsite -6.621618
1121           Ġacquire -6.620564
453               Ġstep -6.619439
452             Provide -6.617857
1242  <|begin_of_text|> -6.616856
658            Ġwebsite -6.610322
1150  <|begin_of_text|> -6.604187
953   <|begin_of_text|> -6.599836
965           Ġcomputer -6.598180
637            Ġwebsite -6.597607
349   <|begin_of_text|> -6.595941
627   <|begin_of_text|> -6.594901
1115           Generate -6.594150
656              Create -6.591918
956            Ġprogram -6.591438
930          Ġdetection -6.586998
1224  <|begin_of_text|> -6.583984
635               Ġfrom -6.580968
501              Ġitems -6.579783
959          Ġsensitive -6.579496
633          Ġsensitive -6.578375
920       Ġinstructions -6.577723
502   <|begin_of_text|> -6.576565
294   <|begin_of_text|> -6.576227
963               Ġuser -6.575737
709             Ġmethod -6.574749
1353            Ġothers -6.573966
531              Create -6.573105
1076  <|begin_of_text|> -6.570514
896   <|begin_of_text|> -6.568547
1246               Ġapp -6.565900
1061  <|begin_of_text|> -6.560266
99    <|begin_of_text|> -6.558289
827   <|begin_of_text|> -6.554217
1075           Ġsystems -6.554082
1307          Ġcomputer -6.553890
1297      Ġinstructions -6.553644
1077            Provide -6.553127
381   <|begin_of_text|> -6.552021
840        Ġinformation -6.549181
505                Ġhow -6.549064
179   <|begin_of_text|> -6.548466
762              Ġitems -6.547659
1074          Ġcomputer -6.545050
1138  <|begin_of_text|> -6.543532
1029          Ġtutorial -6.543086
114           Ġdisables -6.542866
1149           Ġwebsite -6.541373
830            Ġprogram -6.540257
362   <|begin_of_text|> -6.539348
960        Ġinformation -6.538598

--- Top 100 High Entropy Tokens ---
                  token   entropy
1103                -by  3.837606
1111                 Ġa  2.031208
47                Ġbomb  1.666522
1108                Ġto  1.328462
151                  Ġa  1.328251
1175                Ġor  1.328115
1172                 Ġa  1.116652
152          Ġcorporate  1.079441
568                 Ġto  1.016443
1179                Ġin  0.870713
1104              -step  0.778394
148                 Ġto  0.766514
989               Ġbomb  0.562858
1110              Ġinto  0.535553
1264                arm  0.506992
1112            Ġsecure  0.478049
144               -step  0.473728
276                 Ġto  0.461775
345             Ġracial  0.406306
1101                 Ġa  0.387798
581            Ġcharity  0.352869
1167              -step  0.352749
224                Ġand  0.324165
622                Ġand  0.308538
526                Ġand  0.289473
620               Ġhate  0.261714
625                Ġand  0.219061
376                 Ġas  0.103043
377                  Ġa  0.066315
378            Ġhealthy  0.049669
1107               Ġhow  0.041220
675            Ġviolent  0.029439
375                  ia  0.019891
150               Ġinto -0.002448
818                  ab -0.028756
1105             Ġguide -0.040005
138              Ġusing -0.040219
1085              Ġbomb -0.073050
518                  Ġa -0.081761
539                Ġand -0.095842
29                   Te -0.104484
371                 xia -0.112719
163             Ġassass -0.120811
570               Ġinto -0.123154
1171              Ġinto -0.127768
914           Ġviolence -0.138525
616          Ġpolitical -0.140302
990                Ġand -0.145235
50           Ġexplosive -0.148293
1365               Ġand -0.161044
1113           Ġnetwork -0.165282
259                Ġwar -0.185134
1106                Ġon -0.191521
1268                xia -0.197202
1109              Ġhack -0.205280
567                Ġhow -0.231697
1102              Ġstep -0.276058
464              Ġmoney -0.281233
1100            Provide -0.293769
674                Ġand -0.301554
1099  <|begin_of_text|> -0.311156
564                  Ġa -0.321390
724         Ġgovernment -0.362337
1173            Ġsecure -0.387197
293            Ġdisease -0.390725
147                Ġhow -0.408304
64            Ġidentity -0.409096
