Overall Statistics:
Total number of prompts analyzed: 100
Total number of tokens analyzed: 1421
Mean of prompt-average-entropies: 1.4951
Standard deviation of prompt-average-entropies: 0.4660
[0.9909895658493042, 1.5007996559143066, 1.5929306745529175, 1.7822630405426025, 1.7075841426849365, 1.9267113208770752, 1.1835275888442993, 1.7719411849975586, 1.988795518875122, 1.6970289945602417, 1.2114828824996948, 1.3145357370376587, 1.9517203569412231, 1.750421404838562, 1.194753885269165, 0.5358423590660095, 2.068347692489624, 1.0968166589736938, 2.0364091396331787, 1.3932875394821167, 1.5069611072540283, 1.581871509552002, 1.7070444822311401, 1.6383169889450073, 1.6032285690307617, 1.5153484344482422, 1.449390172958374, 1.4352487325668335, 1.7958649396896362, 2.619173049926758, 1.1836837530136108, 1.655227541923523, 1.3845250606536865, 1.385698676109314, 1.7600467205047607, 1.907645344734192, 1.314292311668396, 1.1262799501419067, 0.6064598560333252, 2.1120259761810303, 1.1167012453079224, 1.1914328336715698, 1.4550375938415527, 0.914238691329956, 0.9861804246902466, 1.698310136795044, 0.8884773850440979, 1.2350255250930786, 1.4537733793258667, 1.6463648080825806, 1.7500245571136475, 1.9675205945968628, 1.5376334190368652, 1.6065868139266968, 2.0753328800201416, 2.3935024738311768, 1.790837287902832, 1.6289407014846802, 0.44831910729408264, 0.6037726402282715, 1.5483415126800537, 0.698570728302002, 2.057051420211792, 1.6423354148864746, 1.0859273672103882, 1.7633671760559082, 1.3547507524490356, 2.2193596363067627, 0.7719257473945618, 1.2309192419052124, 1.0682051181793213, 2.2447609901428223, 1.9225465059280396, 1.5590914487838745, 1.2094227075576782, 2.6870667934417725, 1.3814321756362915, 1.7501797676086426, 1.1142510175704956, 0.8229222893714905, 1.8729575872421265, 1.8615636825561523, 1.1382073163986206, 1.1105782985687256, 0.7169896364212036, 1.7509406805038452, 0.4935796558856964, 2.2003414630889893, 1.4116756916046143, 1.0555791854858398, 1.8825249671936035, 2.2467641830444336, 0.7627279162406921, 1.0485557317733765, 1.0031267404556274, 1.259988784790039, 1.9723289012908936, 1.8110884428024292, 1.6954892873764038, 1.7077504396438599]


--- Top 100 Low Entropy Tokens ---
                  token   entropy
1106                ial  0.000401
586                 ack  0.000404
610                 ial  0.000429
938                 ack  0.000480
948          Ġknowledge  0.000889
612            ĠService  0.001563
1116           Ġwebsite  0.001627
237         Ġmanipulate  0.001686
103           Ġcreation  0.003383
1108           ĠService  0.003448
26                  ack  0.003865
1300          Ġaccesses  0.003996
1303             ulates  0.004729
555              Ġcrack  0.004973
78    <|begin_of_text|>  0.005020
1209  <|begin_of_text|>  0.005020
1095  <|begin_of_text|>  0.005020
440   <|begin_of_text|>  0.005020
1332  <|begin_of_text|>  0.005020
931   <|begin_of_text|>  0.005020
752   <|begin_of_text|>  0.005020
59    <|begin_of_text|>  0.005020
308   <|begin_of_text|>  0.005020
596   <|begin_of_text|>  0.005020
557   <|begin_of_text|>  0.005020
1192  <|begin_of_text|>  0.005020
1278  <|begin_of_text|>  0.005020
579   <|begin_of_text|>  0.005020
1225  <|begin_of_text|>  0.005020
0     <|begin_of_text|>  0.005020
1391  <|begin_of_text|>  0.005020
463   <|begin_of_text|>  0.005020
842   <|begin_of_text|>  0.005020
414   <|begin_of_text|>  0.005020
977   <|begin_of_text|>  0.005020
362   <|begin_of_text|>  0.005020
109   <|begin_of_text|>  0.005020
382   <|begin_of_text|>  0.005020
1316  <|begin_of_text|>  0.005020
533   <|begin_of_text|>  0.005020
868   <|begin_of_text|>  0.005020
713   <|begin_of_text|>  0.005020
1363  <|begin_of_text|>  0.005020
794   <|begin_of_text|>  0.005020
19    <|begin_of_text|>  0.005020
231   <|begin_of_text|>  0.005021
993   <|begin_of_text|>  0.005021
1156  <|begin_of_text|>  0.005021
1142  <|begin_of_text|>  0.005021
678   <|begin_of_text|>  0.005021
350   <|begin_of_text|>  0.005021
336   <|begin_of_text|>  0.005021
1242  <|begin_of_text|>  0.005021
296   <|begin_of_text|>  0.005021
1164  <|begin_of_text|>  0.005021
618   <|begin_of_text|>  0.005021
885   <|begin_of_text|>  0.005021
629   <|begin_of_text|>  0.005021
192   <|begin_of_text|>  0.005021
179   <|begin_of_text|>  0.005021
1070  <|begin_of_text|>  0.005021
401   <|begin_of_text|>  0.005021
1128  <|begin_of_text|>  0.005021
430   <|begin_of_text|>  0.005021
664   <|begin_of_text|>  0.005021
654   <|begin_of_text|>  0.005021
898   <|begin_of_text|>  0.005021
962   <|begin_of_text|>  0.005021
949   <|begin_of_text|>  0.005021
1020  <|begin_of_text|>  0.005021
324   <|begin_of_text|>  0.005021
1084  <|begin_of_text|>  0.005021
640   <|begin_of_text|>  0.005021
519   <|begin_of_text|>  0.005021
505   <|begin_of_text|>  0.005021
495   <|begin_of_text|>  0.005021
1035  <|begin_of_text|>  0.005021
1057  <|begin_of_text|>  0.005021
1179  <|begin_of_text|>  0.005021
1049  <|begin_of_text|>  0.005021
781   <|begin_of_text|>  0.005021
283   <|begin_of_text|>  0.005021
729   <|begin_of_text|>  0.005021
268   <|begin_of_text|>  0.005021
859   <|begin_of_text|>  0.005021
768   <|begin_of_text|>  0.005021
916   <|begin_of_text|>  0.005021
740   <|begin_of_text|>  0.005021
813   <|begin_of_text|>  0.005021
49    <|begin_of_text|>  0.005021
140   <|begin_of_text|>  0.005021
153   <|begin_of_text|>  0.005021
35    <|begin_of_text|>  0.005021
483   <|begin_of_text|>  0.005021
164   <|begin_of_text|>  0.005021
1350  <|begin_of_text|>  0.005021
688   <|begin_of_text|>  0.005021
906   <|begin_of_text|>  0.005021
1379  <|begin_of_text|>  0.005021
1117  <|begin_of_text|>  0.005021

--- Top 100 High Entropy Tokens ---
             token   entropy
609           ĠDen  6.829317
1199         Ġscam  6.695181
1176        Ġunsus  6.609805
1033          Ġand  6.534603
1105          ĠDen  6.511024
566          Ġbomb  6.488986
1262        Ġunsus  6.471486
70            Ġand  6.440583
1376           arm  6.419160
528          Ġbomb  6.401825
960           Ġand  6.389994
614             DD  6.380044
1110            DD  6.369895
577           Ġthe  6.367980
1411            Ġa  6.327702
1285         Ġbomb  6.312534
244           Ġand  6.297406
1413            Do  6.266657
186        Ġsexual  6.261717
335          Ġbomb  6.254211
569           Ġthe  6.241944
544          Ġbomb  6.212346
1409           Ġto  6.180690
423     Ġdisorders  6.091841
959            arm  6.064308
427          Ġdiet  5.984443
58             ĠID  5.932158
628         Ġdrugs  5.927920
1360        Ġdrugs  5.927920
776           Ġtax  5.916389
1066          Ġand  5.909169
371          Ġbomb  5.904692
811             's  5.895093
730             Te  5.820158
1377          Ġand  5.799235
791         Ġbreak  5.749896
266           Ġtax  5.738499
929     Ġresulting  5.688516
1361           Ġor  5.615281
702          Train  5.614485
961       Ġsuicide  5.601761
1151          Ġand  5.590377
567              ,  5.588503
398           Ġthe  5.582284
1068     Ġcriminal  5.563216
161           Ġand  5.493816
412           Ġand  5.483980
1274          Ġand  5.465347
328            -by  5.444716
100         Ġautom  5.417405
514       Ġtrading  5.414492
187       Ġassault  5.408210
778           Ġand  5.396302
1019         Ġcity  5.396262
1067     Ġpromotes  5.382249
1290       Ġescape  5.364801
1082          Ġand  5.334743
1289          Ġand  5.282517
594             Ġa  5.281051
188            Ġor  5.260013
1064         Ġgang  5.243647
1232          Ġand  5.194870
765     Ġspreading  5.188276
663   Ġenforcement  5.186529
121             Ġa  5.176299
896           Ġand  5.164991
424           Ġand  5.163481
1236       Ġspread  5.153979
124            Ġor  5.146091
322           Ġand  5.141636
358       Ġtrading  5.094808
200       Ġtrading  5.094808
348             's  5.064178
490       Ġtrading  5.040287
73              Ġa  5.031692
1235           Ġto  5.021971
1378      Ġsuicide  4.955580
439       Ġtrading  4.949408
616              )  4.948490
1018            Ġa  4.926830
373           Ġcan  4.901627
36            Show  4.890158
899           Show  4.890158
216       Ġtrading  4.875746
727      Ġeconomic  4.855724
777         Ġfraud  4.850231
43            Ġand  4.826170
1271      Ġspreads  4.819477
89            Ġand  4.809915
319        Ġspread  4.802739
92             Ġto  4.785218
257     Ġfinancial  4.782920
245    Ġpropaganda  4.780382
1387        Ġtheft  4.776676
502      Ġbullying  4.768410
275            Ġto  4.744279
394           Ġand  4.734800
748       Ġtrading  4.677427
149           Ġand  4.673765
739      Ġfirearms  4.673202
