Overall Statistics:
Total number of prompts analyzed: 100
Total number of tokens analyzed: 1675
Mean of prompt-average-entropies: -4.7603
Standard deviation of prompt-average-entropies: 0.9398
[-5.686568260192871, -5.62087869644165, -5.0242109298706055, -3.070587158203125, -2.738637685775757, -4.640521049499512, -4.7556986808776855, -5.455144882202148, -5.496913909912109, -4.925133228302002, -2.5521557331085205, -4.514344215393066, -4.686491012573242, -5.162055492401123, -5.5884928703308105, -5.186180591583252, -5.361305236816406, -5.263251781463623, -4.686491012573242, -4.976797103881836, -4.664687633514404, -2.8608994483947754, -5.344681262969971, -4.055355548858643, -4.926418304443359, -4.516701698303223, -2.6791911125183105, -3.976062536239624, -5.3106865882873535, -5.0807085037231445, -4.960877895355225, -4.433079242706299, -4.808133602142334, -4.826297760009766, -5.408634662628174, -4.1827712059021, -5.542453765869141, -5.409344673156738, -5.569728851318359, -4.701631546020508, -5.328269004821777, -5.095792293548584, -5.229362964630127, -5.31284236907959, -3.3910601139068604, -3.785797595977783, -5.8040947914123535, -5.419434547424316, -3.787092924118042, -4.456811904907227, -3.921628952026367, -5.2499470710754395, -4.708215236663818, -5.356138229370117, -5.671924114227295, -5.1792311668396, -4.144228458404541, -5.750542640686035, -4.9712910652160645, -4.0227766036987305, -5.796002388000488, -3.9937853813171387, -4.819009304046631, -5.630610942840576, -4.831954002380371, -4.225310802459717, -4.885560989379883, -5.6609601974487305, -4.6550164222717285, -6.100121021270752, -4.487854957580566, -4.717412948608398, -4.385555744171143, -4.93479061126709, -4.93352746963501, -4.628286361694336, -4.963351726531982, -5.693676948547363, -5.151304721832275, -4.383598327636719, -1.355521321296692, -5.372135639190674, -5.875117301940918, -5.863292217254639, -4.752033710479736, -0.6079508662223816, -2.4978036880493164, -5.268589973449707, -5.093982219696045, -5.8789520263671875, -4.238616943359375, -5.68488883972168, -5.332849979400635, -5.214416027069092, -4.484437942504883, -5.380557060241699, -4.669543266296387, -3.7951574325561523, -5.444128036499023, -5.110378265380859]


--- Top 100 Low Entropy Tokens ---
                  token   entropy
1141  <|begin_of_text|> -6.822824
1150             Ġusers -6.808253
1147           Ġwebsite -6.756926
672   <|begin_of_text|> -6.753154
448   <|begin_of_text|> -6.752422
618   <|begin_of_text|> -6.748478
624        Ġexplanation -6.738199
1535  <|begin_of_text|> -6.735640
971   <|begin_of_text|> -6.734708
989          Ġchemicals -6.716824
924   <|begin_of_text|> -6.714947
1541               Ġapp -6.710654
148   <|begin_of_text|> -6.709615
602   <|begin_of_text|> -6.705517
365   <|begin_of_text|> -6.702726
706   <|begin_of_text|> -6.700322
978                 Ġof -6.697783
990   <|begin_of_text|> -6.692869
1549                ore -6.681087
851   <|begin_of_text|> -6.674248
1143                  , -6.670280
937              Ġitems -6.669917
796                 ack -6.667879
786   <|begin_of_text|> -6.664873
617              Ġitems -6.657340
684               Ġhack -6.656756
1185          Ġcomputer -6.651482
1170  <|begin_of_text|> -6.650181
957   <|begin_of_text|> -6.646160
1297  <|begin_of_text|> -6.645293
970            Ġconsent -6.643449
1314           Ġsystems -6.641061
967           Ġlocation -6.638549
1403  <|begin_of_text|> -6.637244
1179         Ġsensitive -6.635252
1183              Ġuser -6.633700
1148              Ġthat -6.629921
314   <|begin_of_text|> -6.628687
416   <|begin_of_text|> -6.627461
721   <|begin_of_text|> -6.626624
1358  <|begin_of_text|> -6.626147
1308              Ġused -6.625252
1587              Ġstep -6.624928
1180       Ġinformation -6.624799
400   <|begin_of_text|> -6.622720
1303          Ġsoftware -6.622116
1582  <|begin_of_text|> -6.621837
963                Ġapp -6.621174
1601           Ġsystems -6.620526
1315  <|begin_of_text|> -6.619123
1176           Ġprogram -6.618855
727          Ġalgorithm -6.618335
730              Ġcrack -6.616189
608           Ġtutorial -6.616039
1495              Ġuser -6.614799
688              Ġminds -6.612671
1184                 's -6.612214
1485  <|begin_of_text|> -6.610408
867             Ġtoxins -6.607016
1310              Ġhack -6.604709
1304           Ġprogram -6.602914
686             Ġpeople -6.600914
674                   , -6.600610
450                   , -6.599879
1494         Ġsensitive -6.598544
1567             Ġlogin -6.598461
1496              Ġdata -6.597828
1181              Ġfrom -6.596050
620                   , -6.595935
872           Ġdelivery -6.594973
879               Ġstep -6.594690
1551  <|begin_of_text|> -6.594012
156               Ġpost -6.594007
873   <|begin_of_text|> -6.592596
1313          Ġcomputer -6.590134
1067  <|begin_of_text|> -6.587365
865          Ġselection -6.585392
1518  <|begin_of_text|> -6.584757
1591               Ġfor -6.583658
188   <|begin_of_text|> -6.583192
1537                  , -6.583096
973                   , -6.582165
1568       Ġcredentials -6.579064
1525               Ġapp -6.577125
572   <|begin_of_text|> -6.572815
980               Ġthat -6.570369
1544              Ġself -6.570055
1387           Ġdevices -6.567766
